,Species,Host
8187,Vibrio phage 1.007.O._10N.261.55.F9,Vibrio cyclitrophicus
8188,Vibrio phage 1.009.O._10N.261.51.C9,Vibrio lentus
8189,Vibrio phage 1.012.O._10N.261.48.C12,Vibrio lentus
8190,Vibrio phage 1.013.O._10N.286.54.F9,Vibrio cyclitrophicus
8191,Vibrio phage 1.015.O._10N.222.51.E5,Vibrio breoganii
8192,Vibrio phage 1.016.O._10N.286.46.A11,Vibrio lentus
8193,Vibrio phage 1.017.O._10N.286.55.C11,Vibrio sp. F12
8194,Vibrio phage 1.021.A._10N.222.51.F9,Vibrio splendidus
8195,Vibrio phage 1.021.B._10N.222.51.F9,Vibrio splendidus
8196,Vibrio phage 1.021.C._10N.222.51.F9,Vibrio splendidus
8197,Vibrio phage 1.022.O._10N.286.45.A10,Vibrio splendidus
8198,Vibrio phage 1.023.O._10N.222.51.B4,Vibrio splendidus
8199,Vibrio phage 1.024.O._10N.261.45.F8,Vibrio lentus
8200,Vibrio phage 1.025.O._10N.222.46.B6,Vibrio splendidus
8201,Vibrio phage 1.026.O._10N.222.49.C7,Vibrio splendidus
8202,Vibrio phage 1.027.O._10N.286.54.B8,Vibrio lentus
8203,Vibrio phage 1.028.O._10N.286.45.B6,Vibrio sp.
8204,Vibrio phage 1.029.O._10N.261.55.A7,Vibrio sp.
8205,Vibrio phage 1.030.O._10N.222.55.F9,Vibrio
8206,Vibrio phage 1.031.O._10N.261.46.F8,Vibrio lentus
8207,Vibrio phage 1.032.O._10N.261.54.F5,Vibrio splendidus
8208,Vibrio phage 1.033.O._10N.222.49.B8,Vibrio lentus
8209,Vibrio phage 1.034.O._10N.261.46.B7,Vibrio breoganii
8210,Vibrio phage 1.034.X._10N.261.46.B7,Vibrio breoganii
8211,Vibrio phage 1.036.O._10N.286.45.C3,Vibrio lentus
8212,Vibrio phage 1.037.O._10N.261.52.F7,Vibrio lentus
8213,Vibrio phage 1.038.O._10N.286.51.C2,Vibrio lentus
8214,Vibrio phage 1.039.O._10N.286.55.A2,Vibrio lentus
8215,Vibrio phage 1.042.O._10N.286.45.B8,Vibrio lentus
8216,Vibrio phage 1.046.O._10N.286.52.E3,Vibrio splendidus
8217,Vibrio phage 1.047.O._10N.286.55.F2,Vibrio cyclitrophicus
8218,Vibrio phage 1.049.O._10N.286.54.B5,Shewanella
8219,Vibrio phage 1.050.O._10N.286.48.A6,Shewanella
8220,Vibrio phage 1.052.A._10N.286.46.C3,Enterovibrio norvegicus
8221,Vibrio phage 1.054.O._10N.261.52.A1,Vibrio sp.
8222,Vibrio phage 1.055.O._10N.286.55.E9,Enterovibrio norvegicus
8223,Vibrio phage 1.056.O._10N.261.48.C11,Vibrio lentus
8224,Vibrio phage 1.060.A._10N.261.48.B5,Vibrio splendidus
8225,Vibrio phage 1.061.O._10N.286.55.C2,Vibrio lentus
8226,Vibrio phage 1.063.O._10N.261.45.C7,Vibrio lentus
8227,Vibrio phage 1.064.O._10N.261.52.E2,Vibrio
8228,Vibrio phage 1.066.O._10N.286.46.E8,Vibrio lentus
8229,Vibrio phage 1.067.O._10N.261.52.C9,Vibrio lentus
8230,Vibrio phage 1.068.O._10N.261.51.F8,Vibrio lentus
8231,Vibrio phage 1.070.O._10N.261.45.B2,Enterovibrio norvegicus
8232,Vibrio phage 1.071.A._10N.286.46.A12,Vibrio lentus
8233,Vibrio phage 1.072.O._10N.286.48.A12,Vibrio
8234,Vibrio phage 1.074.O._10N.222.49.B7,Vibrio breoganii
8235,Vibrio phage 1.075.O._10N.286.55.B10,Vibrio sp. F12
8236,Vibrio phage 1.076.O._10N.286.51.B7,Shewanella
8237,Vibrio phage 1.077.O._10N.261.45.A10,Enterovibrio norvegicus
8238,Vibrio phage 1.079.O._10N.286.45.E9,Vibrio lentus
8239,Vibrio phage 1.081.O._10N.286.52.C2,Shewanella
8240,Vibrio phage 1.082.O._10N.261.49.E4,Vibrio breoganii
8241,Vibrio phage 1.083.O._10N.286.52.B9,Shewanella
8242,Vibrio phage 1.084.O._10N.261.49.F5,Enterovibrio norvegicus
8243,Vibrio phage 1.085.O._10N.222.51.E3,Vibrio breoganii
8244,Vibrio phage 1.086.O._10N.222.51.F8,Vibrio splendidus
8245,Vibrio phage 1.087.A._10N.261.45.F9,Vibrio lentus
8246,Vibrio phage 1.088.O._10N.261.46.A1,Vibrio lentus
8247,Vibrio phage 1.089.O._10N.261.51.F9,Vibrio lentus
8248,Vibrio phage 1.090.B._10N.286.48.F1,Vibrio lentus
8249,Vibrio phage 1.091.O._10N.286.52.B12,Vibrio lentus
8250,Vibrio phage 1.093.O._10N.286.55.E10,Vibrio sp. F12
8251,Vibrio phage 1.094.O._10N.286.55.E12,Vibrio sp. F12
8252,Vibrio phage 1.097.O._10N.286.49.B3,Vibrio sp.
8253,Vibrio phage 1.098.O._10N.286.51.B9,Vibrio lentus
8254,Vibrio phage 1.100.O._10N.261.45.C3,Vibrio lentus
8255,Vibrio phage 1.101.O._10N.261.45.C6,Enterovibrio norvegicus
8256,Vibrio phage 1.103.O._10N.261.52.F2,Vibrio splendidus
8257,Vibrio phage 1.104.O._10N.286.49.A12,Vibrio lentus
8258,Vibrio phage 1.105.O._10N.286.49.B4,Vibrio cyclitrophicus
8259,Vibrio phage 1.106.O._10N.286.51.F7,Vibrio cyclitrophicus
8260,Vibrio phage 1.108.O._10N.222.51.A4,Vibrio breoganii
8261,Vibrio phage 1.110.O._10N.261.52.C1,Vibrio breoganii
8262,Vibrio phage 1.111.A._10N.286.45.E6,Vibrio lentus
8263,Vibrio phage 1.111.B._10N.286.45.E6,Vibrio lentus
8264,Vibrio phage 1.112.O._10N.286.46.B11,Vibrio lentus
8265,Vibrio phage 1.113.A._10N.286.51.E7,Vibrio splendidus
8266,Vibrio phage 1.115.A._10N.222.49.B11,Vibrio breoganii
8267,Vibrio phage 1.115.B._10N.222.49.B11,Vibrio breoganii
8268,Vibrio phage 1.116.O._10N.222.52.C10,Vibrio breoganii
8269,Vibrio phage 1.117.O._10N.261.45.E9,Vibrio breoganii
8270,Vibrio phage 1.118.A._10N.261.49.F6,Vibrio lentus
8271,Vibrio phage 1.118.B._10N.261.49.F6,Vibrio lentus
8272,Vibrio phage 1.119.O._10N.261.51.A9,Vibrio lentus
8273,Vibrio phage 1.121.O._10N.286.46.C4,Enterovibrio norvegicus
8274,Vibrio phage 1.122.A._10N.286.46.F8,Vibrio cyclitrophicus
8275,Vibrio phage 1.122.B._10N.286.46.F8,Vibrio cyclitrophicus
8276,Vibrio phage 1.123.O._10N.286.48.F3,Enterovibrio norvegicus
8277,Vibrio phage 1.124.O._10N.286.49.B1,Vibrio sp.
8278,Vibrio phage 1.127.O._10N.286.52.E12,Vibrio lentus
8279,Vibrio phage 1.131.O._10N.222.49.A8,Vibrio breoganii
8280,Vibrio phage 1.132.O._10N.222.49.F8,Vibrio breoganii
8281,Vibrio phage 1.133.O._10N.222.51.E4,Vibrio breoganii
8282,Vibrio phage 1.134.O._10N.222.52.B8,Vibrio breoganii
8283,Vibrio phage 1.135.O._10N.222.54.B6,Vibrio
8284,Vibrio phage 1.136.O._10N.261.45.E11,Vibrio sp.
8285,Vibrio phage 1.137.O._10N.261.46.B5,Vibrio lentus
8286,Vibrio phage 1.138.O._10N.261.48.A1,Vibrio lentus
8287,Vibrio phage 1.139.A._10N.261.48.C6,Vibrio breoganii
8288,Vibrio phage 1.139.B._10N.261.48.C6,Vibrio breoganii
8289,Vibrio phage 1.142.O._10N.261.49.E11,Vibrio sp.
8290,Vibrio phage 1.143.O._10N.261.55.C8,Vibrio lentus
8291,Vibrio phage 1.144.O._10N.286.45.B3,Vibrio splendidus
8292,Vibrio phage 1.147.O._10N.286.49.E9,Vibrio breoganii
8293,Vibrio phage 1.148.O._10N.286.54.A10,Vibrio breoganii
8294,Vibrio phage 1.149.O._10N.286.55.A12,Vibrio cyclitrophicus
8295,Vibrio phage 1.150.O._10N.222.46.A6,Vibrio splendidus
8296,Vibrio phage 1.151.O._10N.222.46.B1,Vibrio splendidus
8297,Vibrio phage 1.152.O._10N.222.46.E1,Vibrio splendidus
8298,Vibrio phage 1.154.O._10N.222.52.B12,Vibrio sp.
8299,Vibrio phage 1.155.O._10N.222.55.B3,Vibrio sp. F13
8300,Vibrio phage 1.156.O._10N.261.45.A6,Vibrio sp.
8301,Vibrio phage 1.157.O._10N.261.45.B7,Vibrio breoganii
8302,Vibrio phage 1.158.O._10N.261.45.E12,Vibrio lentus
8303,Vibrio phage 1.159.O._10N.261.46.F12,Vibrio sp.
8304,Vibrio phage 1.160.O._10N.261.48.B11,Vibrio lentus
8305,Vibrio phage 1.161.O._10N.261.48.C5,Vibrio lentus
8306,Vibrio phage 1.162.O._10N.261.48.E3,Vibrio breoganii
8307,Vibrio phage 1.164.O._10N.261.51.A7,Vibrio
8308,Vibrio phage 1.165.O._10N.261.51.B7,Vibrio breoganii
8309,Vibrio phage 1.166.O._10N.261.51.C7,Vibrio lentus
8310,Vibrio phage 1.167.O._10N.261.51.F2,Vibrio breoganii
8311,Vibrio phage 1.168.O._10N.261.52.A10,Vibrio breoganii
8312,Vibrio phage 1.169.O._10N.261.52.B1,Vibrio breoganii
8313,Vibrio phage 1.170.O._10N.261.52.C3,Vibrio sp.
8314,Vibrio phage 1.171.O._10N.261.52.F12,Vibrio lentus
8315,Vibrio phage 1.172.O._10N.261.52.F5,Vibrio breoganii
8316,Vibrio phage 1.173.O._10N.261.55.A11,Vibrio cyclitrophicus
8317,Vibrio phage 1.174.O._10N.261.55.A8,Vibrio lentus
8318,Vibrio phage 1.175.O._10N.261.55.B3,Vibrio lentus
8319,Vibrio phage 1.176.O._10N.261.55.F5,Vibrio breoganii
8320,Vibrio phage 1.177.O._10N.286.45.E10,Vibrio sp. F12
8321,Vibrio phage 1.178.O._10N.286.45.E12,Vibrio cyclitrophicus
8322,Vibrio phage 1.179.O._10N.286.45.F12,Vibrio splendidus
8323,Vibrio phage 1.181.O._10N.286.46.C9,Vibrio splendidus
8324,Vibrio phage 1.182.O._10N.286.46.E1,Vibrio breoganii
8325,Vibrio phage 1.183.O._10N.286.48.B7,Vibrio sp.
8326,Vibrio phage 1.184.A._10N.286.49.A5,Vibrio cyclitrophicus
8327,Vibrio phage 1.185.O._10N.286.49.C2,Vibrio sp.
8328,Vibrio phage 1.186.O._10N.286.49.E3,Vibrio cyclitrophicus
8329,Vibrio phage 1.187.O._10N.286.49.F1,Vibrio splendidus
8330,Vibrio phage 1.188.A._10N.286.51.A6,Vibrio breoganii
8331,Vibrio phage 1.188.B._10N.286.51.A6,Vibrio breoganii
8332,Vibrio phage 1.188.C._10N.286.51.A6,Vibrio breoganii
8333,Vibrio phage 1.189.B._10N.286.51.B5,Vibrio breoganii
8334,Vibrio phage 1.189.C._10N.286.51.B5,Vibrio breoganii
8335,Vibrio phage 1.189.O._10N.286.51.B5,Vibrio breoganii
8336,Vibrio phage 1.190.O._10N.286.51.F12,Vibrio lentus
8337,Vibrio phage 1.191.O._10N.286.52.B4,Vibrio splendidus
8338,Vibrio phage 1.193.O._10N.286.52.C6,Vibrio splendidus
8339,Vibrio phage 1.194.O._10N.286.54.B1,Vibrio lentus
8340,Vibrio phage 1.195.O._10N.286.54.C8,Vibrio lentus
8341,Vibrio phage 1.196.O._10N.286.54.E12,Vibrio lentus
8342,Vibrio phage 1.197.A._10N.286.54.F2,Vibrio cyclitrophicus
8343,Vibrio phage 1.198.A._10N.286.54.F4,Vibrio cyclitrophicus
8344,Vibrio phage 1.198.B._10N.286.54.F4,Vibrio cyclitrophicus
8345,Vibrio phage 1.199.A._10N.286.55.C10,Vibrio cyclitrophicus
8346,Vibrio phage 1.199.B._10N.286.55.C10,Vibrio cyclitrophicus
8347,Vibrio phage 1.200.O._10N.286.55.E1,Vibrio lentus
8348,Vibrio phage 1.201.B._10N.286.55.F1,Vibrio cyclitrophicus
8349,Vibrio phage 1.202.O._10N.222.45.E8,Vibrio cyclitrophicus
8350,Vibrio phage 1.204.O._10N.222.46.F12,Vibrio cyclitrophicus
8351,Vibrio phage 1.205.O._10N.222.51.A7,Vibrio tasmaniensis
8352,Vibrio phage 1.206.O._10N.222.51.B10,Vibrio breoganii
8353,Vibrio phage 1.207.B._10N.222.51.C2,Vibrio breoganii
8354,Vibrio phage 1.208.B._10N.222.52.A7,Vibrio splendidus
8355,Vibrio phage 1.209.O._10N.222.52.B2,Vibrio breoganii
8356,Vibrio phage 1.210.O._10N.222.52.C2,Vibrio sp. F13
8357,Vibrio phage 1.211.A._10N.222.52.F11,Vibrio tasmaniensis
8358,Vibrio phage 1.211.B._10N.222.52.F11,Vibrio tasmaniensis
8359,Vibrio phage 1.213.O._10N.222.54.F10,Vibrio
8360,Vibrio phage 1.214.O._10N.222.54.F11,Vibrio cyclitrophicus
8361,Vibrio phage 1.215.A._10N.222.54.F7,Vibrio splendidus
8362,Vibrio phage 1.215.B._10N.222.54.F7,Vibrio splendidus
8363,Vibrio phage 1.216.O._10N.222.55.C12,Vibrio
8364,Vibrio phage 1.217.O._10N.261.45.A1,Vibrio sp.
8365,Vibrio phage 1.219.O._10N.261.45.E2,Vibrio sp.
8366,Vibrio phage 1.223.O._10N.261.48.A9,Vibrio lentus
8367,Vibrio phage 1.224.A._10N.261.48.B1,Vibrio breoganii
8368,Vibrio phage 1.225.O._10N.261.48.B7,Vibrio splendidus
8369,Vibrio phage 1.226.O._10N.261.48.E5,Vibrio breoganii
8370,Vibrio phage 1.228.O._10N.261.49.C1,Vibrio breoganii
8371,Vibrio phage 1.231.O._10N.261.49.F8,Vibrio lentus
8372,Vibrio phage 1.232.O._10N.261.51.E11,Vibrio tasmaniensis
8373,Vibrio phage 1.233.A._10N.261.51.E6,Vibrio breoganii
8374,Vibrio phage 1.233.B._10N.261.51.E6,Vibrio breoganii
8375,Vibrio phage 1.235.O._10N.261.52.B2,Vibrio lentus
8376,Vibrio phage 1.236.O._10N.261.52.C4,Vibrio cyclitrophicus
8377,Vibrio phage 1.237.A._10N.261.52.C5,Vibrio lentus
8378,Vibrio phage 1.237.B._10N.261.52.C5,Vibrio lentus
8379,Vibrio phage 1.238.A._10N.261.52.F10,Vibrio breoganii
8380,Vibrio phage 1.238.B._10N.261.52.F10,Vibrio breoganii
8381,Vibrio phage 1.239.O._10N.261.52.F6,Vibrio breoganii
8382,Vibrio phage 1.240.O._10N.261.52.F8,Vibrio breoganii
8383,Vibrio phage 1.242.O._10N.261.54.B2,Vibrio breoganii
8384,Vibrio phage 1.243.O._10N.261.54.B5,Vibrio cyclitrophicus
8385,Vibrio phage 1.244.A._10N.261.54.C3,Vibrio
8386,Vibrio phage 1.245.O._10N.261.54.C7,Vibrio breoganii
8387,Vibrio phage 1.246.O._10N.261.54.E10,Vibrio
8388,Vibrio phage 1.247.A._10N.261.54.E12,Vibrio splendidus
8389,Vibrio phage 1.247.B._10N.261.54.E12,Vibrio splendidus
8390,Vibrio phage 1.248.O._10N.261.54.F1,Vibrio cyclitrophicus
8391,Vibrio phage 1.250.O._10N.261.55.E11,Vibrio splendidus
8392,Vibrio phage 1.251.O._10N.261.55.E5,Vibrio lentus
8393,Vibrio phage 1.253.O._10N.286.45.B12,Vibrio cyclitrophicus
8394,Vibrio phage 1.254.O._10N.286.45.C8,Vibrio lentus
8395,Vibrio phage 1.255.O._10N.286.45.F1,Vibrio splendidus
8396,Vibrio phage 1.256.O._10N.286.45.F8,Vibrio cyclitrophicus
8397,Vibrio phage 1.257.O._10N.286.46.A4,Vibrio splendidus
8398,Vibrio phage 1.259.O._10N.286.48.F4,Vibrio splendidus
8399,Vibrio phage 1.261.O._10N.286.51.A7,Vibrio breoganii
8400,Vibrio phage 1.262.O._10N.286.51.A9,Vibrio breoganii
8401,Vibrio phage 1.263.A._10N.286.51.B1,Vibrio cyclitrophicus
8402,Vibrio phage 1.263.B._10N.286.51.B1,Vibrio cyclitrophicus
8403,Vibrio phage 1.264.O._10N.286.51.F2,Vibrio splendidus
8404,Vibrio phage 1.265.O._10N.286.52.F6,Vibrio cyclitrophicus
8405,Vibrio phage 1.266.O._10N.286.52.F9,Vibrio breoganii
8406,Vibrio phage 1.267.O._10N.286.54.A1,Vibrio lentus
8407,Vibrio phage 1.268.A._10N.286.54.A11,Vibrio lentus
8408,Vibrio phage 1.268.B._10N.286.54.A11,Vibrio lentus
8409,Vibrio phage 1.269.O._10N.286.54.A6,Vibrio lentus
8410,Vibrio phage 1.270.A._10N.286.54.A8,Vibrio lentus
8411,Vibrio phage 1.270.B._10N.286.54.A8,Vibrio lentus
8412,Vibrio phage 1.271.A._10N.286.54.B4,Vibrio lentus
8413,Vibrio phage 1.271.B._10N.286.54.B4,Vibrio lentus
8414,Vibrio phage 1.272.O._10N.286.54.C4,Vibrio lentus
8415,Vibrio phage 1.273.O._10N.286.54.C7,Vibrio cyclitrophicus
8416,Vibrio phage 1.274.O._10N.286.54.E1,Vibrio lentus
8417,Vibrio phage 1.275.O._10N.286.54.E11,Vibrio cyclitrophicus
8418,Vibrio phage 1.276.O._10N.286.54.E4,Vibrio cyclitrophicus
8419,Vibrio phage 1.277.A._10N.286.54.E7,Vibrio lentus
8420,Vibrio phage 1.277.B._10N.286.54.E7,Vibrio lentus
8421,Vibrio phage 1.278.O._10N.286.54.E8,Vibrio cyclitrophicus
8422,Vibrio phage 1.280.O._10N.286.54.F6,Vibrio lentus
8423,Vibrio phage 1.281.O._10N.286.54.F7,Vibrio lentus
8424,Vibrio phage 1.282.A._10N.286.54.F8,Vibrio lentus
8425,Vibrio phage 1.283.A._10N.286.55.A1,Vibrio lentus
8426,Vibrio phage 1.283.B._10N.286.55.A1,Vibrio lentus
8427,Vibrio phage 1.283.C._10N.286.55.A1,Vibrio lentus
8428,Vibrio phage 1.284.A._10N.286.55.A5,Vibrio cyclitrophicus
8429,Vibrio phage 1.285.O._10N.286.55.C12,Vibrio lentus
8430,Vibrio phage 1.286.O._10N.286.55.C4,Vibrio cyclitrophicus
8431,Vibrio phage 1.287.O._10N.286.55.C7,Vibrio cyclitrophicus
8432,Vibrio phage 1.289.A._10N.286.55.E8,Vibrio cyclitrophicus
8433,Vibrio phage 1.291.O._10N.286.55.F6,Vibrio cyclitrophicus
8434,Vibrio phage 1.293.O._10N.261.52.E1,Vibrio cyclitrophicus
8435,Vibrio phage 2.044.O._10N.261.51.B8,Vibrio lentus
8436,Vibrio phage 2.058.O._10N.286.46.B8,Vibrio lentus
8437,Vibrio phage 2.095.A._10N.286.46.E10,Vibrio sp. F12
8438,Vibrio phage 2.095.B._10N.286.46.E10,Vibrio sp. F12
8439,Vibrio phage 2.096.O._10N.286.48.B5,Shewanella
8440,Vibrio phage 2.117.O._10N.261.45.E9,Vibrio breoganii
8441,Vibrio phage 2.130.O._10N.222.46.C2,Vibrio splendidus
8442,Vibrio phage 2.159.A._10N.261.46.F12,Vibrio sp.
8443,Vibrio phage 2.159.B._10N.261.46.F12,Vibrio sp.
8444,Vibrio phage 2.275.O._10N.286.54.E11,Vibrio cyclitrophicus
8445,Vibrio phage 3.058.O._10N.286.46.B8,Vibrio lentus
8446,Pseudomonas phage SL4,Pseudomonas aeruginosa
8447,Pseudomonas phage SL1,Pseudomonas aeruginosa
8448,Staphylococcus phage vB_SauP_phiAGO1.3,Staphylococcus aureus
8449,Staphylococcus phage vB_SauP_phiAGO1.9,Staphylococcus aureus
8450,Paenibacillus phage Dragolir,Paenibacillus larvae
8451,Paenibacillus phage PBL1c,Paenibacillus larvae
8452,Paenibacillus phage BN12,Paenibacillus larvae
8453,Paenibacillus phage Kiel007,Paenibacillus larvae
8454,Paenibacillus phage Pagassa,Paenibacillus larvae
8455,Paenibacillus phage Tadhana,Paenibacillus larvae
8456,Paenibacillus phage Leyra,Paenibacillus larvae
8457,Paenibacillus phage Likha,Paenibacillus larvae
8458,Bacillus phage BtiUFT6.51-F,Bacillus thuringiensis serovar israelensis
8459,Klebsiella phage vB_Kpn_F48,Klebsiella pneumoniae
8460,Salinibacter virus M8CR30-4,Salinibacter ruber M8
8461,Salinibacter virus M31CC-1,Salinibacter ruber
8462,Salinibacter virus M31CR41-3,Salinibacter ruber
8463,Bacillus phage BSP10,Bacillus subtilis
8464,Unknown,Bacillus velezensis FZB42
8465,Mycobacterium virus D29,Unknown
8466,Mycobacterium virus Fionnbarth,Mycobacterium
8467,Mycobacterium phage Y2,Mycobacterium
8468,Mycobacterium phage C3,Mycobacterium
8469,Mycobacterium phage BK1,Mycobacterium
8470,Mycobacterium phage A6,Mycobacterium
8471,Mycobacterium phage GS4E,Mycobacterium
8472,Erysipelothrix phage phi1605,Erysipelothrix rhusiopathiae
8473,Pectobacterium virus PP74,Pectobacterium wasabiae
8474,Streptococcus phage vB_SthS_VA698,Streptococcus thermophilus
8475,Streptococcus phage vB_SthS_VA214,Streptococcus thermophilus
8476,Streptococcus phage vB_SthS_VA460,Streptococcus thermophilus
8477,Escherichia virus K1E,Escherichia coli IHE3034
8478,Escherichia phage YDC107_1,Escherichia coli
8479,Escherichia phage YDC107_2,Escherichia coli
8480,Mycobacterium phage D12,Mycobacterium
8481,Mycobacterium phage PR,Mycobacterium
8482,Staphylococcus phage UPMK_2,Staphylococcus
8483,Escherichia phage LAMP,Escherichia coli
8484,Staphylococcus phage phiSa2wa_st5,Staphylococcus aureus
8485,Staphylococcus phage phiSa2wa_st22,Staphylococcus aureus
8486,Staphylococcus phage phiSa2wa_st30,Staphylococcus aureus
8487,Staphylococcus phage phiSa2wa_st59,Staphylococcus aureus
8488,Staphylococcus phage phiSa2wa_st72,Staphylococcus aureus
8489,Staphylococcus phage phiSa2wa_st78,Staphylococcus aureus
8490,Staphylococcus phage phiSa2wa_st80,Staphylococcus aureus
8491,Staphylococcus phage phiSa2wa_st93mssa,Staphylococcus aureus
8492,Staphylococcus phage phiSa2wa_st93,Staphylococcus aureus
8493,Staphylococcus phage phiSa2wa_st121mssa,Staphylococcus aureus
8494,Proteus phage phiP4-3,Proteus penneri
8495,Plesiomonas phage phiP4-7,Plesiomonas sp.
8496,Salmonella phage BPS11T2,Salmonella enterica subsp. enterica serovar Enteritidis
8497,Salmonella phage BPS17S6,Salmonella enterica subsp. enterica serovar Shubra
8498,Pseudomonas phage PMBT3,Pseudomonas grimontii
8499,Staphylococcus virus K,Unknown
8500,Escherichia virus HK022,Escherichia sp.
8501,Synechococcus phage S-LBS1,Synechococcus sp. TCC793
8502,Lactococcus phage MW18L,Lactococcus lactis
8503,Lactococcus phage 16W12L,Lactococcus lactis
8504,Lactococcus phage 13W11L,Lactococcus lactis
8505,Lactococcus phage 19W07F,Lactococcus lactis
8506,Lactococcus phage 10W22S,Lactococcus lactis
8507,Lactococcus phage 4R16L2,Lactococcus lactis
8508,Lactococcus phage 4R15L,Lactococcus lactis
8509,Lactococcus phage i0139,Lactococcus lactis
8510,Lactococcus phage 10W18,Lactococcus lactis
